Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
城;しろ、じょう;замок;"お城 (おしろ) — замок; 大阪城 (おおさかじょう) — замок Осака";Чтобы защитить землю (土), высоко на утесе (厂) был построен ЗАМОК из валунов, добытых снизу, и защищался алебардами (戈).
王;おう;король, править;"王様 (おうさま) — король; 女王 (じょおう) — королева";КОРОЛЬ (王) — это верхний уровень из трёх (三) уровней общества.
玉;たま、〜だま、ぎょく;драгоценность, нефрит, шар;"玉 (たま); ねぎ (ねぎ) — лук; 円玉 (えんだま) — монета в 100 иен; 翠玉 (すいぎょく) — изумруд, нефрит";Молодой король (王) подпрыгивает со своим ШАРОМ.
主;しゅ、おも、めし;господин, главный, основной;"主人 (しゅじん) — глава [домохозяйства]; 主立つ (おもだつ) — быть важным";ГОСПОДИН носит большое перо в шляпе.
球;たま、きゅう;шар, сфера;"地球 (ちきゅう) — земля, глобус; 野球 (やきゅう) — бейсбол";Король (王) должен был убедиться, что мир — это СФЕРА, состоящая в основном из воды (水).
班;はん;отряд, группа, единица;"班員 (はんいん) — член группы; 班長 (はんちょう) — лидер команды";Каждый член этой ГРУППЫ похож на короля (王) после того, как все отложили клинки и стали друзьями.
理;り;логика, разум, истина;"料理 (りょうり) — кухня, готовка; 理解 (りかい) — понимание";Хороший король (王) правил полями (田) и землями (土) с РАЗУМОМ, ища ИСТИНУ.
現;げん、あらわ(れる);настоящий, существующий, актуальный;"現在 (げんざい) — сейчас, текущий; 現れる (あらわれる) — появляться";Король (王) должен ПРИСУТСТВОВАТЬ в своём королевстве и видеть (見), что на самом деле происходит.
士;し;джентльмен, самурай;"弁護士 (べんごし) — адвокат; 兵士 (へいし) — солдат";САМУРАЙ с широкими плечами сидит прямо, как идеальный ДЖЕНТЛЬМЕН.
表;おもて、ひょう、あらわ(す);поверхность, таблица, диаграмма;"表現 (ひょうげん) — выражать; 表通り (おもてどおり) — главная улица; 表す (あらわす) — раскрывать";Самурай (士) заставлял подчинённого складывать одежду (衣) на плоской ПОВЕРХНОСТИ.
