Кандзи;JLPT
一;5
二;5
三;5
四;5
五;5
六;5
七;5
八;5
九;5
十;5
百;5
千;5
万;5
人;5
見;5
出;5
日;5
来;5
子;5
大;5
上;5
分;5
中;5
行;5
時;5
何;5
生;5
間;5
言;5
手;5
女;5
気;5
本;5
年;5
前;5
今;5
下;5
立;5
小;5
入;5
月;5
目;5
学;5
書;5
後;5
山;5
話;5
先;5
少;5
長;5
聞;5
水;5
口;5
空;5
名;5
会;5
男;5
白;5
外;5
道;5
国;5
新;5
木;5
多;5
足;5
金;5
高;5
母;5
天;5
父;5
食;5
川;5
語;5
社;5
校;5
花;5
車;5
古;5
火;5
土;5
東;5
安;5
半;5
読;5
右;5
左;5
西;5
友;5
電;5
店;5
雨;5
北;5
買;5
耳;5
南;5
円;5
毎;5
飲;5
休;5
魚;5
午;5
駅;5
週;5
思;4
事;4
私;4
自;4
方;4
者;4
心;4
家;4
物;4
文;4
知;4
作;4
合;4
持;4
意;4
地;4
度;4
屋;4
同;4
不;4
力;4
所;4
明;4
通;4
代;4
顔;4
理;4
世;4
場;4
田;4
主;4
考;4
正;4
動;4
風;4
体;4
声;4
夜;4
青;4
味;4
切;4
近;4
色;4
発;4
以;4
真;4
用;4
頭;4
死;4
引;4
太;4
音;4
親;4
帰;4
野;4
歩;4
仕;4
問;4
教;4
有;4
着;4
悪;4
好;4
別;4
光;4
村;4
門;4
重;4
起;4
説;4
字;4
朝;4
早;4
海;4
町;4
開;4
集;4
民;4
強;4
待;4
遠;4
紙;4
楽;4
題;4
使;4
室;4
始;4
黒;4
品;4
歌;4
界;4
病;4
元;4
京;4
急;4
業;4
進;4
赤;4
図;4
画;4
運;4
特;4
質;4
終;4
乗;4
止;4
台;4
暗;4
去;4
首;4
茶;4
兄;4
春;4
答;4
都;4
工;4
計;4
走;4
館;4
広;4
注;4
住;4
売;4
旅;4
働;4
市;4
服;4
産;4
送;4
洋;4
夕;4
秋;4
料;4
鳥;4
林;4
肉;4
回;4
院;4
員;4
弟;4
族;4
軽;4
銀;4
転;4
堂;4
夏;4
建;4
究;4
弱;4
研;4
験;4
姉;4
写;4
犬;4
寒;4
飯;4
医;4
森;4
習;4
低;4
映;4
英;4
冬;4
短;4
妹;4
牛;4
便;4
試;4
昼;4
薬;4
借;4
池;4
洗;4
区;4
曜;4
漢;4
勉;4
暑;4
貸;4
県;4
菜;4
彼;3
的;3
無;3
居;3
様;3
御;3
身;3
実;3
然;3
感;3
第;3
面;3
当;3
君;3
成;3
取;3
向;3
部;3
神;3
内;3
相;3
葉;3
全;3
現;3
平;3
笑;3
得;3
美;3
次;3
夫;3
対;3
情;3
表;3
落;3
性;3
最;3
馬;3
等;3
形;3
変;3
込;3
信;3
初;3
論;3
記;3
直;3
法;3
達;3
活;3
結;3
点;3
流;3
和;3
若;3
違;3
底;3
想;3
返;3
愛;3
原;3
他;3
処;3
置;3
化;3
命;3
数;3
関;3
付;3
解;3
石;3
常;3
要;3
苦;3
定;3
過;3
戸;3
飛;3
助;3
庫;3
在;3
供;3
申;3
兵;3
機;3
深;3
草;3
決;3
張;3
戦;3
覚;3
呼;3
由;3
必;3
打;3
利;3
連;3
余;3
調;3
皆;3
突;3
可;3
根;3
術;3
老;3
治;3
受;3
念;3
島;3
種;3
公;3
座;3
残;3
殺;3
船;3
恐;3
経;3
観;3
番;3
存;3
師;3
伝;3
式;3
寄;3
果;3
程;3
両;3
横;3
識;3
反;3
娘;3
議;3
軍;3
能;3
失;3
路;3
寝;3
非;3
告;3
細;3
共;3
酒;3
婦;3
加;3
際;3
息;3
指;3
武;3
判;3
支;3
客;3
片;3
良;3
例;3
雪;3
望;3
王;3
位;3
難;3
政;3
芸;3
胸;3
故;3
勢;3
準;3
配;3
階;3
幸;3
役;3
絶;3
巻;3
渡;3
段;3
勝;3
角;3
消;3
制;3
奥;3
夢;3
背;3
追;3
波;3
続;3
極;3
守;3
悲;3
線;3
限;3
放;3
寺;3
蔵;3
精;3
断;3
格;3
押;3
容;3
類;3
与;3
静;3
鳴;3
宿;3
折;3
遊;3
浮;3
久;3
庭;3
妻;3
史;3
忘;3
造;3
降;3
泣;3
談;3
側;3
科;3
舞;3
像;3
交;3
頼;3
異;3
越;3
谷;3
志;3
号;3
熱;3
象;3
確;3
係;3
似;3
血;3
参;3
組;3
逃;3
清;3
吹;3
満;3
件;3
諸;3
腹;3
抜;3
許;3
城;3
河;3
晩;3
将;3
雑;3
昔;3
示;3
窓;3
独;3
困;3
雲;3
喜;3
期;3
官;3
更;3
暮;3
並;3
抱;3
曲;3
冷;3
単;3
状;3
痛;3
薄;3
橋;3
裏;3
求;3
差;3
保;3
具;3
破;3
労;3
改;3
散;3
末;3
構;3
途;3
米;3
岸;3
辺;3
劇;3
緒;3
景;3
絵;3
刻;3
条;3
疑;3
負;3
認;3
殿;3
丸;3
案;3
応;3
評;3
腰;3
商;3
毛;3
争;3
未;3
羽;3
恋;3
髪;3
伸;3
探;3
玉;3
介;3
察;3
比;3
版;3
歳;3
煙;3
快;3
福;3
団;3
優;3
衣;3
叫;3
礼;3
岩;3
器;3
願;3
昨;3
腕;3
投;3
歴;3
候;3
予;3
再;3
報;3
筆;3
倒;3
眠;3
留;3
退;3
演;3
永;3
州;3
個;3
約;3
囲;3
床;3
罪;3
仏;3
坂;3
職;3
育;3
骨;3
仲;3
涙;3
済;3
焼;3
徒;3
節;3
枝;3
肩;3
乱;3
陽;3
善;3
鼻;3
富;3
警;3
香;3
壁;3
任;3
戻;3
給;3
怒;2
星;2
周;2
権;2
接;2
竹;2
価;2
鉄;2
照;2
黄;2
登;2
紅;2
務;2
板;2
局;2
坊;2
布;2
祖;2
毒;2
帯;2
婚;2
児;2
刷;2
束;2
怖;2
園;2
移;2
普;2
易;2
境;2
湯;2
因;2
枚;2
積;2
仮;2
修;2
章;2
訪;2
純;2
才;2
荒;2
欲;2
印;2
晴;2
沈;2
払;2
危;2
固;2
尊;2
席;2
軒;2
割;2
捨;2
府;2
皮;2
群;2
備;2
述;2
著;2
令;2
装;2
速;2
迷;2
選;2
値;2
各;2
灯;2
温;2
技;2
包;2
承;2
資;2
亡;2
勇;2
増;2
互;2
傾;2
否;2
詰;2
吸;2
領;2
列;2
般;2
量;2
頂;2
農;2
虫;2
触;2
復;2
完;2
害;2
層;2
杯;2
到;2
輪;2
荷;2
刺;2
迎;2
箱;2
浅;2
貧;2
